Requirement,UAV,Step,CommunicationCost,ComputationCost,AccuracyMetric,CommColor_R,CommColor_G,CommColor_B,CompColor_R,CompColor_G,CompColor_B,AccColor_R,AccColor_G,AccColor_B
Low,UAV6,1,0,5091.66666666667,19.858973159076,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059
Low,UAV6,2,576,5091.66666666667,19.858973159076,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098
Low,UAV13,1,0,5091.66666666667,19.8588468281081,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059
Low,UAV13,2,768,5091.66666666667,19.8588468281081,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098
Low,UAV14,1,0,5091.66666666667,19.8588242616534,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059
Low,UAV14,2,768,5091.66666666667,19.8588242616534,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098
Low,UAV20,1,0,5091.66666666667,19.858851499404,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059
Low,UAV20,2,576,5091.66666666667,19.858851499404,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098
Low,UAV25,1,0,5091.66666666667,19.85892570471,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059
Low,UAV25,2,384,5091.66666666667,19.85892570471,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098
Medium,UAV6,1,0,5091.66666666667,19.858973159076,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059
Medium,UAV6,2,600,28634.3333333333,11.320742202269,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098
Medium,UAV6,3,792,28634.3333333333,11.320742202269,1,0.752941176470588,0,1,0.752941176470588,0,1,0.752941176470588,0
Medium,UAV13,1,0,5091.66666666667,19.8588468281081,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059
Medium,UAV13,2,800,56805,12.7430476478288,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098
Medium,UAV13,3,1184,56805,12.7430476478288,1,0.752941176470588,0,1,0.752941176470588,0,1,0.752941176470588,0
Medium,UAV14,1,0,5091.66666666667,19.8588242616534,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059
Medium,UAV14,2,672,28634.3333333333,12.153537674293,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098
Medium,UAV14,3,960,28634.3333333333,12.153537674293,1,0.752941176470588,0,1,0.752941176470588,0,1,0.752941176470588,0
Medium,UAV20,1,0,5091.66666666667,19.858851499404,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059
Medium,UAV20,2,600,28634.3333333333,10.7243275308646,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098
Medium,UAV20,3,984,28634.3333333333,10.7243275308646,1,0.752941176470588,0,1,0.752941176470588,0,1,0.752941176470588,0
Medium,UAV25,1,0,5091.66666666667,19.85892570471,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059
Medium,UAV25,2,392,14409,11.824291347269,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098
Medium,UAV25,3,680,14409,11.824291347269,1,0.752941176470588,0,1,0.752941176470588,0,1,0.752941176470588,0
High,UAV6,1,0,5091.66666666667,19.858973159076,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059
High,UAV6,2,504,33837,10.4378597043147,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098,0.929411764705882,0.490196078431373,0.192156862745098
High,UAV6,3,504,33837,10.2252438395475,1,0.752941176470588,0,1,0.752941176470588,0,1,0.752941176470588,0
High,UAV6,4,888,33837,10.2252438395475,0.43921568627451,0.67843137254902,0.27843137254902,0.43921568627451,0.67843137254902,0.27843137254902,0.43921568627451,0.67843137254902,0.27843137254902
High,UAV13,1,0,5091.66666666667,19.8588468281081,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059,0.356862745098039,0.607843137254902,0.835294117647059
